issue_date,issue_time_local,target_time_local,horizon_h,turbine,p10,p50,p90,wind_fc_ms,weather_init_max_utc,version
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T00:00+05:00,1,1,0.0999,0.5089,0.9692,7.34,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T00:00+05:00,1,2,0.1058,0.5077,0.9679,7.34,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T00:00+05:00,1,plant,0.1041,0.5077,0.9679,7.34,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T01:00+05:00,2,1,0.1181,0.6563,0.9904,7.54,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T01:00+05:00,2,2,0.1434,0.6551,0.9890,7.54,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T01:00+05:00,2,plant,0.1417,0.6551,0.9890,7.54,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T02:00+05:00,3,1,0.2114,0.6668,0.9886,7.39,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T02:00+05:00,3,2,0.2433,0.6655,0.9872,7.39,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T02:00+05:00,3,plant,0.2416,0.6655,0.9872,7.39,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T03:00+05:00,4,1,0.2215,0.7807,0.9839,7.48,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T03:00+05:00,4,2,0.1713,0.7794,0.9825,7.48,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T03:00+05:00,4,plant,0.1696,0.7794,0.9825,7.48,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T04:00+05:00,5,1,0.1673,0.6457,0.9830,7.15,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T04:00+05:00,5,2,0.1686,0.6445,0.9817,7.15,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T04:00+05:00,5,plant,0.1669,0.6445,0.9817,7.15,2026-02-12T18:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T05:00+05:00,6,1,0.0972,0.4263,0.9530,6.74,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T05:00+05:00,6,2,0.0853,0.4250,0.9514,6.74,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T05:00+05:00,6,plant,0.0836,0.4250,0.9514,6.74,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T06:00+05:00,7,1,0.0557,0.2901,0.8274,5.80,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T06:00+05:00,7,2,0.0348,0.2888,0.8260,5.80,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T06:00+05:00,7,plant,0.0349,0.2888,0.8260,5.80,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T07:00+05:00,8,1,0.0100,0.0303,0.2994,3.75,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T07:00+05:00,8,2,0.0096,0.0291,0.2980,3.75,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T07:00+05:00,8,plant,0.0098,0.0291,0.2980,3.75,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T08:00+05:00,9,1,0.0100,0.0271,0.3021,3.78,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T08:00+05:00,9,2,0.0094,0.0265,0.3017,3.78,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T08:00+05:00,9,plant,0.0097,0.0265,0.3017,3.78,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T09:00+05:00,10,1,0.0100,0.0276,0.2136,2.82,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T09:00+05:00,10,2,0.0093,0.0270,0.2132,2.82,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T09:00+05:00,10,plant,0.0096,0.0270,0.2132,2.82,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T10:00+05:00,11,1,0.0100,0.0129,0.2013,1.63,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T10:00+05:00,11,2,0.0090,0.0123,0.2009,1.63,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T10:00+05:00,11,plant,0.0094,0.0123,0.2009,1.63,2026-02-13T00:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T11:00+05:00,12,1,0.0100,0.0113,0.1455,1.98,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T11:00+05:00,12,2,0.0084,0.0107,0.1452,1.98,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T11:00+05:00,12,plant,0.0089,0.0107,0.1452,1.98,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T12:00+05:00,13,1,0.0100,0.0102,0.1715,1.46,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T12:00+05:00,13,2,0.0084,0.0096,0.1711,1.46,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T12:00+05:00,13,plant,0.0090,0.0096,0.1711,1.46,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T13:00+05:00,14,1,0.0100,0.0144,0.1109,1.38,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T13:00+05:00,14,2,0.0087,0.0138,0.1141,1.38,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T13:00+05:00,14,plant,0.0092,0.0138,0.1141,1.38,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T14:00+05:00,15,1,0.0100,0.0347,0.1938,3.15,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T14:00+05:00,15,2,0.0092,0.0345,0.2009,3.15,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T14:00+05:00,15,plant,0.0095,0.0345,0.2009,3.15,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T15:00+05:00,16,1,0.0000,0.0100,0.0132,0.89,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T15:00+05:00,16,2,0.0000,0.0090,0.0132,0.89,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T15:00+05:00,16,plant,0.0000,0.0094,0.0132,0.89,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T16:00+05:00,17,1,0.0100,0.0247,0.1149,0.97,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T16:00+05:00,17,2,0.0092,0.0244,0.1154,0.97,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T16:00+05:00,17,plant,0.0095,0.0244,0.1154,0.97,2026-02-13T06:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T17:00+05:00,18,1,0.0185,0.2225,0.6670,5.27,2026-02-12T12:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T17:00+05:00,18,2,0.0173,0.2222,0.6741,5.27,2026-02-12T12:00Z,2
2026-02-13,2026-02-14T00:00+05:00,2026-02-14T17:00+05:00,18,plant,0.0174,0.2222,0.6741,5.27,2026-02-12T12:00Z,2
